fiscal_year,agency_name,vendor_name,vendor_clean,vendor_zip,amount,fiscal_period,date,category
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES/HOUSING DIVISION,ASSOC CATHOLIC CHARITIES,21093,79000,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2008,CAPITAL PROJECTS- OFFICE OF COMPTROLLER,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21218,1799332.22,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21201,12142871.9,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21202,211206.82,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,DEPARTMENT OF JUVENILE SERVICES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,68187.58,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,MARYLAND DEPT. OF AGING,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,252641,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,MARYLAND PUBLIC TELEVISION,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21231,100,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21157,850682.66,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2009,CAPITAL PROJECTS- OFFICE OF COMPTROLLER,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21218,483493.5,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,10212132.13,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21202,5334200.04,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPARTMENT OF JUVENILE SERVICES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,202916.34,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,MARYLAND DEPT. OF AGING,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,336198,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21157,820994.9,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,13065581.26,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,20755,11553857.04,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPARTMENT OF JUVENILE SERVICES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,113751.08,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21201,71000,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,ENERGY ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21201,150371,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,MARYLAND DEPT. OF AGING,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,380733,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21001,892710.8,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2011,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,11363,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,6877675.04,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPARTMENT OF JUVENILE SERVICES,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,71288.56,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,DHMH-GENERAL ACCOUNTING,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,19655324.29,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,ENERGY ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21201,104176,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,MARYLAND DEPT. OF AGING,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,330419,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,803527.93,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,MILITARY DEPARTMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21201,22001.82,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,1714981.37,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,1247067.88,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,1133559.88,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,DHMH-GENERAL ACCOUNTING,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,2000,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2016,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,1502617.98,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,1822552,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,1332017,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,2201632,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES,ASSOC CATHOLIC CHARITIES,21093,825788,1,2020 Jan 01 12:00:00 AM,S00
2012,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,52445,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,5754753.08,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPARTMENT OF JUVENILE SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,34529.43,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,DHMH-GENERAL ACCOUNTING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,20761565.26,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,ENERGY ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,103321,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,GOVERNOR'S OFFICE FOR CHILDREN,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,128640,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,MARYLAND DEPT. OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,399023,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,796648.8,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,12000,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,OFFICE OF PEOPLES COUNSEL,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,60,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2013,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,69926,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,3987524.24,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPARTMENT OF JUVENILE SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,82298.87,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,"DEPARTMENT OF LABOR, LICENSING & REG.",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,20296.7,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,DHMH-GENERAL ACCOUNTING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,19639688.41,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,ENERGY ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,21706,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,GOVERNOR'S OFFICE FOR CHILDREN,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,139315,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,MARYLAND DEPT. OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,323543,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,776534.39,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,943.12,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2014,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,126484,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,5531751.98,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPARTMENT OF JUVENILE SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,133741.89,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,"DEPARTMENT OF LABOR, LICENSING & REG.",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,70031,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,DHMH-GENERAL ACCOUNTING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,13897087.96,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,396609,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,760909.68,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,8952,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,OFFICE OF PEOPLES COUNSEL,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,80,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2015,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,97143,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,5054815.54,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPARTMENT OF JUVENILE SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,153375.53,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,"DEPARTMENT OF LABOR, LICENSING & REG.",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,22686.3,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,DHMH-GENERAL ACCOUNTING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,26935712.87,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,357557,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,1079062.79,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,MILITARY DEPARTMENT,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,10924.67,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2016,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,100551,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,DEPARTMENT OF HUMAN RESOURCES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,4456003.44,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,DEPARTMENT OF JUVENILE SERVICES-HQ,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,158722.1,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,DHMH-GENERAL ACCOUNTING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,23391286.63,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,362430,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,1165817.64,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,2353.17,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,122966,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,380343.5,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,"MARYLAND DEPARTMENT OF HEALTH, MDH",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,22513464.5,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,1248985.06,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,12046.84,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,MD DEPARTMENT OF HUMAN SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,4639655.49,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,MILITARY DEPARTMENT,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,35542.58,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,134046,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,ENERGY ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,78076.24,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,411229,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,"MARYLAND DEPARTMENT OF HEALTH, MDH",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,20490142.98,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,1290254.69,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,76265.51,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MD DEPARTMENT OF HUMAN SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,4562024.17,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,155460,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,443036,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,"MARYLAND DEPARTMENT OF HEALTH, MDH",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,14983806.42,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,1278936.09,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,112158.87,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MD DEPARTMENT OF HUMAN SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,4117767.63,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,BOARDS COMMISSIONS & OFFICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,95699,1,2020 Jan 01 12:00:00 AM,D15
2020,"CRIME PREVENTION, YOUTH & VICTIM SRVCS",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,28572,1,2020 Jan 01 12:00:00 AM,D21
2020,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,351760,1,2020 Jan 01 12:00:00 AM,D26
2020,"MARYLAND DEPARTMENT OF HEALTH, MDH",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,20114873.47,1,2020 Jan 01 12:00:00 AM,M00
2020,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,1352247.41,1,2020 Jan 01 12:00:00 AM,R00
2020,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,77392.63,1,2020 Jan 01 12:00:00 AM,J05
2020,MD DEPARTMENT OF HUMAN SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,2427504.89,1,2020 Jan 01 12:00:00 AM,N00
2020,MD DEPARTMENT OF PLANNING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,58545,1,2020 Jan 01 12:00:00 AM,D40
2021,BALTIMORE CITY COMMUNITY COLLEGE,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,2422,1,2021 Jan 01 12:00:00 AM,R95
2021,"CRIME PREVENTION, YOUTH & VICTIM SRVCS",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,208268,1,2021 Jan 01 12:00:00 AM,D21
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,75000,1,2021 Jan 01 12:00:00 AM,S00
2021,DHCD-COMMUNITY DEVELOPMENT ADM- CAPITAL,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,200000,1,2021 Jan 01 12:00:00 AM,606
2021,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,7565,1,2021 Jan 01 12:00:00 AM,614
2021,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,473930,1,2021 Jan 01 12:00:00 AM,D26
2021,"MARYLAND DEPARTMENT OF HEALTH, MDH",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,26562614.72,1,2021 Jan 01 12:00:00 AM,M00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,802796.3,1,2021 Jan 01 12:00:00 AM,R00
2021,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,99852.48,1,2021 Jan 01 12:00:00 AM,J05
2021,MD DEPARTMENT OF HUMAN SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,2141890.72,1,2021 Jan 01 12:00:00 AM,N00
2022,"CRIME PREVENTION, YOUTH & VICTIM SRVCS",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,236077,1,2022 Jan 01 12:00:00 AM,D21
2022,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,491153,1,2022 Jan 01 12:00:00 AM,D26
2022,"MARYLAND DEPARTMENT OF HEALTH, MDH",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,27639657.33,1,2022 Jan 01 12:00:00 AM,M00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,1126538.31,1,2022 Jan 01 12:00:00 AM,R00
2022,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,82339.21,1,2022 Jan 01 12:00:00 AM,J05
2022,MD DEPARTMENT OF HUMAN SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21201,2416543.42,1,2022 Jan 01 12:00:00 AM,N00
2023,"CRIME PREVENTION, YOUTH & VICTIM SRVCS",ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,144299,1,2023 Jan 01 12:00:00 AM,D21
2023,DEPARTMENT OF HUMAN SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,2713338.87,1,2023 Jan 01 12:00:00 AM,N00
2023,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,279729,1,2023 Jan 01 12:00:00 AM,D26
2023,MARYLAND DEPARTMENT OF HEALTH,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,26522969.27,1,2023 Jan 01 12:00:00 AM,M00
2023,MARYLAND TRANSIT ADMINISTRATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,200588.84,1,2023 Jan 01 12:00:00 AM,J05
2023,STATE DEPARTMENT OF EDUCATION,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,1202184.07,1,2023 Jan 01 12:00:00 AM,R00
2024,DEPARTMENT OF HUMAN SERVICES,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,3015376.9,1,2024 Jan 01 12:00:00 AM,N00
2024,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,17830,1,2024 Jan 01 12:00:00 AM,S00
2024,GOV OFFICE CRIME PREVENTION AND POLICY,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21093,148523,1,2024 Jan 01 12:00:00 AM,D21
2024,MARYLAND DEPARTMENT OF AGING,ASSOCIATED CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21201,547982,1,2024 Jan 01 12:00:00 AM,D26
